draw_percentage,loss_percentage,average_score,std_score,min_score,max_score
0.133,0.3,471.7,103.37683492930125,267,728
0.189,0.217,464.04,119.26440541921968,229,771
0.189,0.272,462.54,121.40448261905324,261,751
0.272,0.161,459.68,114.21496224225616,296,936
0.133,0.133,457.88,117.54329245005859,165,649
0.189,0.133,457.58,95.1405465613899,243,631
0.05,0.05,457.32,90.49186482772913,286,731
0.244,0.133,455.4,171.95627351161107,221,1199
0.3,0.272,452.08,108.42727332179851,205,722
0.189,0.106,452.06,113.34909086534395,182,684
0.05,0.078,451.16,92.16883638193552,248,678
0.189,0.189,449.8,121.43376795603436,185,815
0.133,0.272,449.58,103.05767123314985,243,777
0.078,0.161,448.06,91.31668193709187,278,703
0.161,0.217,447.86,120.40814092078658,189,816
0.217,0.217,447.76,109.49549031809484,265,761
0.133,0.05,446.28,87.45102400772674,261,617
0.217,0.244,446.1,119.69281515613208,182,696
0.244,0.217,443.48,99.0265095820306,254,668
0.133,0.161,443.42,101.80453624470768,178,627
0.05,0.133,442.04,68.65273774584666,312,609
0.05,0.244,439.34,102.0697036343302,225,653
0.217,0.189,439.06,139.70059556064894,167,1041
0.106,0.272,437.9,94.00175530276017,255,628
0.078,0.133,435.56,75.53811223481826,234,619
0.106,0.161,434.6,71.79164296768809,305,660
0.189,0.161,434.02,125.36658087385172,192,778
0.078,0.272,433.64,103.87276062568088,249,752
0.272,0.3,433.22,104.37035786084094,240,713
0.217,0.161,432.74,111.23790900587802,184,753
0.106,0.078,429.4,104.71599686771836,224,734
0.078,0.078,428.4,119.86325542049991,200,695
0.106,0.217,424.18,130.51646486171774,197,790
0.272,0.189,424.16,103.84533884580473,188,672
0.217,0.3,421.66,128.6470536001505,170,735
0.217,0.272,420.96,132.01575057545216,95,718
0.078,0.106,420.36,100.59736775880371,228,697
0.189,0.244,419.28,117.68450025385671,253,770
0.106,0.106,418.6,110.501040719081,187,739
0.133,0.189,412.96,128.58801810433195,178,708
0.189,0.05,411.86,124.28370931059307,160,806
0.217,0.05,411.08,138.35256990746504,156,847
0.3,0.161,410.78,2645.802050721104,0,18928
0.272,0.272,410.58,105.81305968546606,241,698
0.3,0.244,409.76,101.63573387347581,218,635
0.161,0.161,408.72,110.34618978469534,163,669
0.106,0.244,408.6,43.66692111885151,336,539
0.244,0.244,407.46,141.35037460155525,157,843
0.244,0.3,404.02,116.06179216262343,167,882
0.161,0.189,399.28,43.64769867931183,314,519
0.244,0.189,398.64,97.50871961009436,187,589
0.161,0.106,392.68,112.0398928953433,162,654
0.3,0.3,377.02,111.75875625650099,148,686
0.272,0.244,376.6,125.44911318937254,139,710
0.217,0.133,368.62,126.5506839175514,146,693
0.244,0.272,364.28,1.96,364,378
0.05,0.106,364.0,0.0,364,364
0.05,0.161,364.0,0.0,364,364
0.05,0.189,364.0,0.0,364,364
0.05,0.217,364.0,0.0,364,364
0.05,0.272,364.0,0.0,364,364
0.05,0.3,364.0,0.0,364,364
0.078,0.05,364.0,0.0,364,364
0.078,0.189,364.0,0.0,364,364
0.078,0.217,364.0,0.0,364,364
0.078,0.244,364.0,0.0,364,364
0.078,0.3,364.0,0.0,364,364
0.106,0.05,364.0,0.0,364,364
0.106,0.133,364.0,0.0,364,364
0.106,0.189,364.0,0.0,364,364
0.106,0.3,364.0,0.0,364,364
0.133,0.106,364.0,0.0,364,364
0.133,0.217,364.0,0.0,364,364
0.133,0.244,364.0,0.0,364,364
0.161,0.078,364.0,0.0,364,364
0.161,0.133,364.0,0.0,364,364
0.161,0.244,364.0,0.0,364,364
0.161,0.272,364.0,0.0,364,364
0.161,0.3,364.0,0.0,364,364
0.189,0.3,364.0,0.0,364,364
0.272,0.217,363.98,144.3163871499006,129,908
0.3,0.078,334.04,111.24530731675831,110,547
0.272,0.106,312.8,2012.7213716756726,0,14400
0.3,0.106,272.32,108.67611329082395,110,537
0.217,0.106,251.46,1519.0123002793625,0,10880
0.3,0.189,115.42,610.1050430868441,0,4375
0.3,0.217,71.0,265.70284153542656,0,1853
0.189,0.078,58.46,154.1989896205549,0,1078
0.272,0.078,54.5,137.56718358678424,0,912
0.244,0.106,51.04,126.28300915008323,0,792
0.133,0.078,49.34,132.59179612630638,0,935
0.244,0.078,44.66,125.94945176538087,0,900
0.3,0.133,41.08,112.2365074296238,0,720
0.244,0.161,35.86,102.38476644501368,0,715
0.161,0.05,33.14,51.7579018121871,0,240
0.217,0.078,31.12,48.94022476450226,0,234
0.272,0.05,28.06,45.9462337956007,0,200
0.244,0.05,26.46,33.60429139261829,0,125
0.272,0.133,24.34,35.43366196147386,0,140
0.3,0.05,21.7,28.593181005267674,0,155
